scenario_id,route,mode,vmt,vht,max_num_of_vehicle_tod
206,1,Local Bus,2111.64669,173.3690565,13
206,2,Local Bus,1040.811804,115.4822693,8
206,3,Local Bus,1564.259942,171.6504454,14
206,4,Local Bus,1567.905993,120.2442313,12
206,5,Local Bus,745.7782195,69.77248958,6
206,6,Local Bus,925.773496,86.34099033,8
206,7,Local Bus,1787.98245,175.3228212,14
206,8,Local Bus,1340.399984,108.7521648,10
206,9,Local Bus,1268.448643,97.96466545,8
206,10,Arterial Rapid,2868.56928,223.6857695,16
206,11,Local Bus,1836.39231,178.6229876,13
206,12,Arterial Rapid,1963.42191,133.690825,10
206,12,Local Bus,1458.96828,137.8036095,12
206,13,Local Bus,2066.443095,157.5984903,13
206,14,Local Bus,1090.72538,81.51320093,6
206,18,Local Bus,403.611282,25.0219045,2
206,20,Express Bus,1498.028616,81.61904573,9
206,25,Local Bus,313.311453,19.17779049,2
206,27,Local Bus,1362.15559,109.6836249,10
206,28,Arterial Rapid,2675.36241,175.6886862,14
206,28,Local Bus,576.092594,51.09336427,5
206,30,Arterial Rapid,3211.38945,246.9132958,18
206,31,Local Bus,609.1698,42.40627335,6
206,34,Local Bus,3071.67003,236.5715141,18
206,35,Local Bus,606.285141,55.5446041,6
206,41,Arterial Rapid,2006.86374,118.5402358,10
206,41,Local Bus,1728.727819,103.7476537,10
206,44,Local Bus,2184.033082,162.6719202,14
206,50,Express Bus,457.6170549,28.79031612,5
206,83,Local Bus,326.636193,29.63659302,4
206,84,Local Bus,481.456508,28.4020552,4
206,88,Local Bus,559.96479,43.00220228,4
206,89,Local Bus,1374.710432,86.8685626,8
206,101,Local Bus,4018.114715,223.0142932,20
206,104,Freeway Rapid,2736.07443,87.2344467,7
206,105,Local Bus,1661.972851,113.8381783,10
206,110,Express Bus,547.59613,22.56685853,4
206,115,Local Bus,1568.641816,99.74310368,10
206,120,Arterial Rapid,2427.19272,205.5293592,15
206,201,Arterial Rapid,569.17188,48.80406443,4
206,202,Arterial Rapid,569.17188,49.72404657,4
206,204,Arterial Rapid,281.85372,24.96478245,2
206,215,Arterial Rapid,1782.544842,144.1789169,10
206,225,Freeway Rapid,4298.9958,143.1639391,11
206,235,Freeway Rapid,6471.82548,189.364245,14
206,237,Freeway Rapid,3562.89021,157.6033845,12
206,238,Freeway Rapid,3717.0675,150.3651721,12
206,276,Local Bus,613.02512,42.77234577,4
206,288,Freeway Rapid,2292.900137,60.50925142,6
206,290,Freeway Rapid,1740.673897,50.67294795,5
206,292,Freeway Rapid,8767.62405,376.4629188,27
206,295,Arterial Rapid,4029.92334,222.9352144,17
206,302,Local Bus,1824.638727,116.9924072,11
206,303,Local Bus,2119.05276,136.9155981,12
206,304,Local Bus,552.6815472,32.35887866,6
206,305,Local Bus,1860.0804,110.8139264,10
206,306,Local Bus,1656.00034,86.53814817,8
206,308,Local Bus,579.953235,23.71655787,2
206,309,Local Bus,3476.91757,202.5551749,18
206,311,Local Bus,185.6101607,10.32166946,2
206,313,Local Bus,266.323252,17.29846274,2
206,315,Local Bus,621.2847222,40.48119661,4
206,318,Local Bus,2081.716876,142.3889139,13
206,323,Local Bus,196.0073725,14.63511256,3
206,325,Local Bus,286.548743,21.61978874,2
206,332,Local Bus,943.247463,61.7259999,7
206,334,Local Bus,144.3505275,10.60371736,1
206,350,Arterial Rapid,969.012224,59.94472357,6
206,351,Local Bus,376.61856,32.02125067,3
206,352,Local Bus,390.630876,32.79660077,3
206,353,Local Bus,133.435568,8.959493942,2
206,354,Local Bus,695.796188,47.419063,4
206,355,Local Bus,275.329712,18.88774895,2
206,356,Local Bus,213.850329,14.9475288,2
206,357,Local Bus,266.826112,18.43076187,2
206,358,Local Bus,286.328078,21.6054704,2
206,359,Local Bus,286.328078,21.56932717,2
206,371,Local Bus,218.0481225,8.818333971,2
206,388,Local Bus,1857.619679,67.36510203,6
206,392,Local Bus,553.742772,26.94217637,4
206,395,Local Bus,142.7183637,2.581224925,2
206,398,Commuter Rail,2564.463156,42.7096978,6
206,399,Light Rail,3346.432304,135.2296981,8
206,440,Arterial Rapid,2935.19502,166.850425,12
206,444,Local Bus,36.559246,1.898814939,1
206,445,Local Bus,87.08298083,5.410524728,2
206,448,Local Bus,807.37434,62.2107746,6
206,449,Local Bus,789.14772,51.7563794,4
206,450,Arterial Rapid,3964.19013,175.9587007,14
206,471,Arterial Rapid,693.07668,59.0464362,5
206,473,Arterial Rapid,5464.58085,276.6281634,21
206,474,Arterial Rapid,2393.014494,121.8374824,9
206,477,Arterial Rapid,1816.83675,102.8235954,8
206,510,Light Rail,8001.0348,343.3167848,22
206,520,Light Rail,4370.151096,211.9460452,14
206,530,Light Rail,6000.28684,270.1670336,18
206,577,Light Rail,3281.6835,171.942915,12
206,582,Commuter heavy rail,3497.98788,68.589948,6
206,625,Arterial Rapid,2706.21585,185.910916,14
206,630,Freeway Rapid,3878.891436,137.779776,12
206,637,Arterial Rapid,1112.3091,86.26116575,6
206,640,Freeway Rapid,3559.46373,89.37503185,7
206,647,Local Bus,743.08626,48.2171908,4
206,648,Local Bus,1175.86566,86.1030005,6
206,649,Local Bus,1110.8493,91.716522,8
206,661,Local Bus,2136.126888,112.6655497,10
206,668,Local Bus,743.11264,52.36883942,6
206,675,Local Bus,383.201208,27.8748674,6
206,701,Local Bus,1426.458264,108.7339394,8
206,704,Local Bus,1894.512383,133.2344114,12
206,705,Local Bus,1333.425795,79.10526262,8
206,707,Local Bus,851.005219,47.89459955,6
206,709,Arterial Rapid,1810.926264,91.56758675,8
206,709,Local Bus,1264.423238,78.00813307,8
206,712,Local Bus,1246.636272,80.0480673,7
206,715,Local Bus,758.171526,41.26882993,5
206,716,Local Bus,1016.64276,43.8371454,4
