Geo,Year,HighCarSvcCost.2010,LowCarSvcCost.2010,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp
12,2016,1.33,4,3,0.75,1
19,2016,1.33,4,3,0.75,1
18,2016,1.33,4,3,0.75,1
7,2016,1.33,4,3,0.75,1
15,2016,1.33,4,3,0.75,1
1,2016,1.33,4,3,0.75,1
14,2016,1.33,4,3,0.75,1
6,2016,1.33,4,3,0.75,1
13,2016,1.33,4,3,0.75,1
17,2016,1.33,4,3,0.75,1
4,2016,1.33,4,3,0.75,1
16,2016,1.33,4,3,0.75,1
5,2016,1.33,4,3,0.75,1
9,2016,1.33,4,3,0.75,1
10,2016,1.33,4,3,0.75,1
3,2016,1.33,4,3,0.75,1
11,2016,1.33,4,3,0.75,1
2,2016,1.33,4,3,0.75,1
8,2016,1.33,4,3,0.75,1
12,2035,1.33,4,2,0.75,1
19,2035,1.33,4,2,0.75,1
18,2035,1.33,4,2,0.75,1
7,2035,1.33,4,2,0.75,1
15,2035,1.33,4,2,0.75,1
1,2035,1.33,4,2,0.75,1
14,2035,1.33,4,2,0.75,1
6,2035,1.33,4,2,0.75,1
13,2035,1.33,4,2,0.75,1
17,2035,1.33,4,2,0.75,1
4,2035,1.33,4,2,0.75,1
16,2035,1.33,4,2,0.75,1
5,2035,1.33,4,2,0.75,1
9,2035,1.33,4,2,0.75,1
10,2035,1.33,4,2,0.75,1
3,2035,1.33,4,2,0.75,1
11,2035,1.33,4,2,0.75,1
2,2035,1.33,4,2,0.75,1
8,2035,1.33,4,2,0.75,1
