Geo,Year,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4
13,2016,0.0,1.0,0.0,0.0
14,2016,0.19,0.26,0.24,0.31
15,2016,0.39,0.42,0.15,0.05
16,2016,0.4,0.39,0.16,0.05
17,2016,0.17,0.31,0.26,0.26
18,2016,0.17,0.27,0.25,0.3
19,2016,0.12,0.33,0.21,0.34
20,2016,0.04,0.21,0.33,0.42
21,2016,0.15,0.29,0.32,0.24
22,2016,0.23,0.38,0.15,0.23
23,2016,0.28,0.17,0.27,0.27
24,2016,0.0,0.0,0.0,0.0
25,2016,0.54,0.08,0.38,0.0
26,2016,0.0,0.0,0.0,0.0
27,2016,0.48,0.17,0.25,0.1
28,2016,0.48,0.23,0.18,0.11
29,2016,0.59,0.17,0.2,0.05
30,2016,0.17,0.33,0.33,0.17
31,2016,0.54,0.38,0.0,0.08
32,2016,0.25,0.18,0.36,0.2
33,2016,0.18,0.25,0.28,0.29
34,2016,0.38,0.27,0.17,0.18
35,2016,0.26,0.33,0.21,0.21
36,2016,0.16,0.25,0.4,0.19
37,2016,0.15,0.3,0.33,0.22
38,2016,0.38,0.33,0.13,0.16
39,2016,0.18,0.28,0.36,0.18
40,2016,0.17,0.22,0.46,0.14
41,2016,0.17,0.3,0.24,0.28
42,2016,0.1,0.32,0.35,0.22
43,2016,0.0,0.0,0.0,0.0
44,2016,0.14,0.3,0.22,0.34
45,2016,0.36,0.35,0.15,0.14
46,2016,0.36,0.28,0.21,0.15
47,2016,0.18,0.24,0.4,0.18
48,2016,0.38,0.29,0.25,0.08
49,2016,0.4,0.35,0.13,0.12
50,2016,0.44,0.22,0.17,0.16
51,2016,0.5,0.0,0.25,0.25
52,2016,0.42,0.3,0.15,0.13
53,2016,0.16,0.22,0.36,0.27
54,2016,0.21,0.25,0.29,0.24
55,2016,0.3,0.21,0.27,0.23
56,2016,0.24,0.23,0.3,0.23
57,2016,0.44,0.19,0.12,0.25
58,2016,0.26,0.37,0.23,0.14
59,2016,0.33,0.17,0.5,0.0
60,2016,0.0,0.0,0.0,0.0
61,2016,0.3,0.0,0.4,0.3
62,2016,0.52,0.23,0.18,0.07
63,2016,0.38,0.36,0.13,0.13
64,2016,0.25,0.38,0.15,0.22
65,2016,0.42,0.42,0.17,0.0
66,2016,0.46,0.34,0.13,0.07
67,2016,0.31,0.38,0.19,0.12
68,2016,0.28,0.41,0.16,0.15
69,2016,0.46,0.34,0.09,0.11
70,2016,0.42,0.37,0.11,0.11
71,2016,0.36,0.28,0.28,0.09
72,2016,0.17,0.26,0.26,0.3
73,2016,0.31,0.37,0.2,0.11
74,2016,0.33,0.4,0.18,0.09
75,2016,0.33,0.34,0.19,0.14
76,2016,0.0,0.33,0.67,0.0
77,2016,0.37,0.35,0.16,0.12
78,2016,0.33,0.38,0.14,0.14
79,2016,0.33,0.32,0.18,0.17
80,2016,0.35,0.24,0.19,0.21
81,2016,0.18,0.09,0.36,0.36
82,2016,0.26,0.22,0.22,0.31
83,2016,0.36,0.36,0.2,0.08
84,2016,0.31,0.41,0.22,0.07
85,2016,0.32,0.42,0.2,0.06
86,2016,0.34,0.37,0.18,0.11
87,2016,0.42,0.3,0.21,0.08
88,2016,0.32,0.41,0.16,0.11
89,2016,0.33,0.32,0.24,0.11
90,2016,0.32,0.39,0.21,0.07
91,2016,0.35,0.35,0.2,0.1
92,2016,1.0,0.0,0.0,0.0
93,2016,0.09,0.3,0.3,0.3
94,2016,0.18,0.27,0.22,0.32
95,2016,0.43,0.27,0.18,0.12
96,2016,0.39,0.33,0.21,0.08
97,2016,0.18,0.3,0.26,0.27
98,2016,0.18,0.25,0.36,0.21
99,2016,0.36,0.22,0.21,0.21
100,2016,0.34,0.27,0.21,0.19
101,2016,0.54,0.15,0.14,0.18
102,2016,0.38,0.24,0.22,0.16
103,2016,0.34,0.37,0.21,0.09
104,2016,0.3,0.5,0.16,0.03
105,2016,0.38,0.2,0.21,0.22
106,2016,0.26,0.16,0.27,0.31
107,2016,0.26,0.15,0.32,0.26
108,2016,0.26,0.19,0.24,0.31
109,2016,0.19,0.25,0.2,0.36
110,2016,0.18,0.32,0.21,0.29
111,2016,0.36,0.19,0.29,0.17
112,2016,0.48,0.17,0.19,0.17
113,2016,0.34,0.17,0.27,0.23
114,2016,0.09,0.27,0.27,0.36
115,2016,0.27,0.26,0.29,0.18
116,2016,0.36,0.27,0.26,0.11
117,2016,0.29,0.28,0.24,0.19
118,2016,0.29,0.29,0.21,0.21
119,2016,0.21,0.28,0.17,0.34
120,2016,0.5,0.25,0.18,0.07
121,2016,0.19,0.19,0.33,0.29
122,2016,0.38,0.25,0.19,0.18
123,2016,0.0,0.0,0.0,0.0
124,2016,0.41,0.21,0.23,0.16
125,2016,0.26,0.17,0.25,0.32
126,2016,0.0,0.0,0.0,0.0
127,2016,0.0,0.0,0.0,0.0
128,2016,1.0,0.0,0.0,0.0
129,2016,0.07,0.4,0.2,0.33
130,2016,0.33,0.11,0.17,0.39
131,2016,0.26,0.26,0.25,0.24
132,2016,0.15,0.25,0.26,0.33
133,2016,0.23,0.27,0.19,0.31
134,2016,0.0,0.5,0.0,0.5
135,2016,0.19,0.16,0.32,0.33
136,2016,0.24,0.21,0.26,0.29
137,2016,0.17,0.21,0.24,0.38
138,2016,0.16,0.33,0.21,0.3
139,2016,0.31,0.21,0.18,0.3
140,2016,0.2,0.24,0.2,0.36
141,2016,0.0,1.0,0.0,0.0
142,2016,0.0,0.0,0.0,0.0
143,2016,0.39,0.41,0.15,0.05
144,2016,0.21,0.15,0.15,0.49
145,2016,0.17,0.24,0.23,0.36
146,2016,0.0,0.0,0.0,0.0
147,2016,0.2,0.18,0.26,0.37
148,2016,0.0,0.0,0.0,0.0
149,2016,0.0,0.0,0.0,0.0
150,2016,0.21,0.24,0.2,0.35
151,2016,0.21,0.24,0.19,0.37
152,2016,0.33,0.33,0.33,0.0
153,2016,0.34,0.24,0.24,0.17
154,2016,0.43,0.26,0.18,0.12
155,2016,0.0,0.0,0.0,0.0
156,2016,0.0,0.0,0.0,0.0
157,2016,0.0,0.0,0.0,0.0
158,2016,0.3,0.22,0.26,0.22
159,2016,0.0,0.4,0.2,0.4
160,2016,0.0,0.0,0.0,0.0
161,2016,0.38,0.31,0.31,0.0
162,2016,0.34,0.19,0.21,0.26
163,2016,0.0,0.0,0.0,0.0
164,2016,0.15,0.17,0.29,0.38
165,2016,0.0,0.0,0.0,0.0
166,2016,0.36,0.25,0.07,0.32
167,2016,0.31,0.24,0.21,0.24
168,2016,0.47,0.19,0.23,0.1
169,2016,0.2,0.22,0.17,0.42
170,2016,0.2,0.24,0.24,0.32
171,2016,0.28,0.23,0.25,0.23
172,2016,0.19,0.2,0.25,0.36
173,2016,0.21,0.21,0.17,0.41
174,2016,0.27,0.12,0.19,0.42
175,2016,0.22,0.25,0.26,0.27
176,2016,0.15,0.3,0.21,0.33
177,2016,0.33,0.17,0.17,0.33
178,2016,0.2,0.31,0.2,0.29
179,2016,0.14,0.31,0.21,0.34
180,2016,0.16,0.3,0.23,0.31
181,2016,0.2,0.26,0.23,0.31
182,2016,0.18,0.26,0.25,0.32
183,2016,0.38,0.23,0.0,0.38
184,2016,0.16,0.27,0.27,0.3
185,2016,0.22,0.22,0.3,0.26
186,2016,0.2,0.24,0.32,0.24
187,2016,0.26,0.21,0.16,0.37
188,2016,0.17,0.37,0.16,0.3
189,2016,0.2,0.24,0.24,0.31
190,2016,0.3,0.22,0.25,0.22
191,2016,0.48,0.32,0.11,0.09
192,2016,0.15,0.32,0.27,0.26
193,2016,0.75,0.0,0.25,0.0
194,2016,0.0,0.0,0.0,0.0
195,2016,0.0,1.0,0.0,0.0
196,2016,0.34,0.22,0.28,0.16
197,2016,0.18,0.26,0.23,0.32
198,2016,0.17,0.22,0.22,0.39
199,2016,0.38,0.12,0.12,0.38
200,2016,0.2,0.26,0.28,0.25
