Make,Model,Category3
toyota,pickup,light truck
am general,hummer,light truck
chevrolet,c1500,light truck
chevrolet,c3500,light truck
chevrolet,g10 sportvan,light truck
chevrolet,g30 sportvan,light truck
dodge,d350 pickup,light truck
dodge,ram pickup,light truck
dodge,ram truck,light truck
dodge,ram light truck,light truck
ford,e-350,light truck
ford,e350 wagon,light truck
ford,e-450,light truck
ford,f-150,light truck
ford,f-250,light truck
ford,f-350,light truck
ford,f-450,light truck
gmc,c2500,light truck
gmc,g1500 rally,light truck
mazda,mazdaspeed3,car
nissan,nv2500hd,light truck
nissan,pickup,light truck
oldsmobile,eighty eight,car
saturn,l series,car
saturn,s series,car
