Make,Model,Category3
Acura,CL,car
Acura,ILX,car
Acura,Integra,car
Acura,Legend,car
Acura,MDX,light truck
Acura,MDX Sport Hybrid,light truck
Acura,NSX,car
Acura,RDX,light truck
Acura,RL,car
Acura,RLX,car
Acura,RLX Sport Hybrid,car
Acura,RSX,car
Acura,SLX,light truck
Acura,TL,car
Acura,TLX,car
Acura,TSX,car
Acura,Vigor,car
Acura,ZDX,light truck
Alfa Romeo,164,car
Alfa Romeo,4C,car
Alfa Romeo,4C Spider,car
Alfa Romeo,Giulia,car
Alfa Romeo,Spider,car
Alfa Romeo,Stelvio,light truck
Aston Martin,DB11,car
Aston Martin,DB9,car
Aston Martin,DB9 GT,car
Aston Martin,DBS,car
Aston Martin,Rapide,car
Aston Martin,Rapide S,car
Aston Martin,Vanquish,car
Aston Martin,Vanquish S,car
Aston Martin,Vantage,car
Aston Martin,Virage,car
Audi,80,car
Audi,90,car
Audi,100,car
Audi,A3,car
Audi,A3 Sportback e-tron,car
Audi,A4,car
Audi,A4 (2005.5),car
Audi,A4 allroad,car
Audi,A5,car
Audi,A5 Sport,car
Audi,A6,car
Audi,A6 allroad,car
Audi,A7,car
Audi,A8,car
Audi,allroad,car
Audi,Cabriolet,car
Audi,e-tron,light truck
Audi,Q3,light truck
Audi,Q5,light truck
Audi,Q7,light truck
Audi,Q8,light truck
Audi,Quattro,car
Audi,R8,car
Audi,RS 3,car
Audi,RS 4,car
Audi,RS 5,car
Audi,RS 6,car
Audi,RS 7,car
Audi,S3,car
Audi,S4,car
Audi,S4 (2005.5),car
Audi,S5,car
Audi,S6,car
Audi,S7,car
Audi,S8,car
Audi,SQ5,light truck
Audi,TT,car
Bentley,Arnage,car
Bentley,Azure,car
Bentley,Azure T,car
Bentley,Bentayga,light truck
Bentley,Brooklands,car
Bentley,Continental,car
Bentley,Flying Spur,car
Bentley,Mulsanne,car
BMW,1 Series,car
BMW,2 Series,car
BMW,3 Series,car
BMW,4 Series,car
BMW,5 Series,car
BMW,6 Series,car
BMW,7 Series,car
BMW,8 Series,car
BMW,Alpina B7,car
BMW,i3,car
BMW,i8,car
BMW,M,car
BMW,M2,car
BMW,M3,car
BMW,M4,car
BMW,M5,car
BMW,M6,car
BMW,X1,light truck
BMW,X2,light truck
BMW,X3,light truck
BMW,X4,light truck
BMW,X5,light truck
BMW,X5 M,light truck
BMW,X6,light truck
BMW,X6 M,light truck
BMW,X7,light truck
BMW,Z3,car
BMW,Z4,car
BMW,Z4 M,car
BMW,Z8,car
Buick,Cascada,car
Buick,Century,car
Buick,Enclave,light truck
Buick,Encore,light truck
Buick,Encore GX,light truck
Buick,Envision,light truck
Buick,LaCrosse,car
Buick,LeSabre,car
Buick,Lucerne,car
Buick,Park Avenue,car
Buick,Reatta,car
Buick,Rainier,light truck
Buick,Regal,car
Buick,Regal Sportback,car
Buick,Regal TourX,car
Buick,Rendezvous,light truck
Buick,Riviera,car
Buick,Roadmaster,car
Buick,Skylark,car
Buick,Terraza,light truck
Buick,Verano,car
Cadillac,Allante,car
Cadillac,ATS,car
Cadillac,ATS-V,car
Cadillac,Brougham,car
Cadillac,Catera,car
Cadillac,CT4,car
Cadillac,CT5,car
Cadillac,CT6,car
Cadillac,CT6-V,car
Cadillac,CTS,car
Cadillac,CTS-V,car
Cadillac,DeVille,car
Cadillac,DTS,car
Cadillac,Eldorado,car
Cadillac,ELR,car
Cadillac,Escalade,light truck
Cadillac,Escalade ESV,light truck
Cadillac,Escalade EXT,light truck
Cadillac,Fleetwood,car
Cadillac,Seville,car
Cadillac,Sixty Special,car
Cadillac,SRX,light truck
Cadillac,STS,car
Cadillac,XLR,car
Cadillac,XT4,light truck
Cadillac,XT5,light truck
Cadillac,XT6,light truck
Cadillac,XTS,car
Chevrolet,1500 Extended Cab,light truck
Chevrolet,1500 Regular Cab,light truck
Chevrolet,2500 Crew Cab,light truck
Chevrolet,2500 Extended Cab,light truck
Chevrolet,2500 HD Extended Cab,light truck
Chevrolet,2500 HD Regular Cab,light truck
Chevrolet,2500 Regular Cab,light truck
Chevrolet,3500 Crew Cab,light truck
Chevrolet,3500 Extended Cab,light truck
Chevrolet,3500 HD Extended Cab,light truck
Chevrolet,3500 HD Regular Cab,light truck
Chevrolet,3500 Regular Cab,light truck
Chevrolet,APV Cargo,light truck
Chevrolet,Astro Cargo,light truck
Chevrolet,Astro Passenger,light truck
Chevrolet,Avalanche,light truck
Chevrolet,Avalanche 1500,light truck
Chevrolet,Avalanche 2500,light truck
Chevrolet,Aveo,car
Chevrolet,Beretta,car
Chevrolet,Blazer,light truck
Chevrolet,Bolt EV,car
Chevrolet,Camaro,car
Chevrolet,Caprice,car
Chevrolet,Caprice Classic,car
Chevrolet,Captiva Sport,light truck
Chevrolet,Cavalier,car
Chevrolet,City Express,light truck
Chevrolet,Classic,car
Chevrolet,Cobalt,car
Chevrolet,Colorado Crew Cab,light truck
Chevrolet,Colorado Extended Cab,light truck
Chevrolet,Colorado Regular Cab,light truck
Chevrolet,Corsica,car
Chevrolet,Corvette,car
Chevrolet,Cruze,car
Chevrolet,Cruze Limited,car
Chevrolet,Equinox,light truck
Chevrolet,Express 1500 Cargo,light truck
Chevrolet,Express 1500 Passenger,light truck
Chevrolet,Express 2500 Cargo,light truck
Chevrolet,Express 2500 Passenger,light truck
Chevrolet,Express 3500 Cargo,light truck
Chevrolet,Express 3500 Passenger,light truck
Chevrolet,G-Series 1500,light truck
Chevrolet,G-Series 2500,light truck
Chevrolet,G-Series 3500,light truck
Chevrolet,G-Series G10,light truck
Chevrolet,G-Series G20,light truck
Chevrolet,G-Series G30,light truck
Chevrolet,HHR,car
Chevrolet,Impala,car
Chevrolet,Impala Limited,car
Chevrolet,Lumina,car
Chevrolet,Lumina APV,light truck
Chevrolet,Lumina Cargo,light truck
Chevrolet,Lumina Passenger,light truck
Chevrolet,Malibu,car
Chevrolet,Malibu (Classic),car
Chevrolet,Malibu Limited,car
Chevrolet,Metro,car
Chevrolet,Monte Carlo,car
Chevrolet,Prizm,car
Chevrolet,S10 Blazer,light truck
Chevrolet,S10 Crew Cab,light truck
Chevrolet,S10 Extended Cab,light truck
Chevrolet,S10 Regular Cab,light truck
Chevrolet,Silverado (Classic) 1500 Crew Cab,light truck
Chevrolet,Silverado (Classic) 1500 Extended Cab,light truck
Chevrolet,Silverado (Classic) 1500 HD Crew Cab,light truck
Chevrolet,Silverado (Classic) 1500 Regular Cab,light truck
Chevrolet,Silverado (Classic) 2500 HD Crew Cab,light truck
Chevrolet,Silverado (Classic) 2500 HD Extended Cab,light truck
Chevrolet,Silverado (Classic) 2500 HD Regular Cab,light truck
